UH#,GLOSS#,Version,Location,Country,Latitude,Longitude,Start,End,Data,CSV,NetCDF,OldNetCDF,Meta
109,27,a,Gan,Maldives,-0.687,73.152,3/5/1987,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
110,,a,Muscat,Oman,23.628,58.565,4/4/1987,8/11/1993,daily hourly,daily hourly,daily hourly,daily hourly,meta
110,,b,Muscat,Oman,23.628,58.565,12/11/2009,12/30/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
111,339,a,Port Victoria,Seychelles,-4.622,55.458,12/16/1977,12/31/1982,daily hourly,daily hourly,daily hourly,daily hourly,meta
111,339,b,Port Victoria,Seychelles,-4.622,55.458,5/29/1986,12/30/1992,daily hourly,daily hourly,daily hourly,daily hourly,meta
113,,a,Masirah,Oman,20.687,58.872,12/8/1996,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
114,4,a,Salalah,Oman,16.935,54.007,10/2/1989,5/22/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
115,33,a,Colombo,Sri Lanka,6.935,79.858,1/2/1953,12/31/1965,daily hourly,daily hourly,daily hourly,daily hourly,meta
115,33,b,Colombo,Sri Lanka,6.935,79.858,7/15/1989,8/27/1992,daily hourly,daily hourly,daily hourly,daily hourly,meta
115,33,c,Colombo,Sri Lanka,6.935,79.858,5/9/2006,10/24/2016,daily hourly,daily hourly,daily hourly,daily hourly,meta
115,33,d,Colombo,Sri Lanka,6.935,79.858,1/5/2017,9/4/2017,daily hourly,daily hourly,daily hourly,daily hourly,meta
117,,a,Hanimaadhoo,Maldives,6.767,73.173,7/20/1991,8/19/2002,daily hourly,daily hourly,daily hourly,daily hourly,meta
117,,b,Hanimaadhoo,Maldives,6.767,73.173,9/19/2002,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
119,2,a,Djibouti,Djibouti,11.608,43.14,2/21/2007,5/5/2016,daily hourly,daily hourly,daily hourly,daily hourly,meta
121,339,a,Pt. La Rue,Seychelles,-4.672,55.528,1/11/1993,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
122,,a,Sibolga,Indonesia,1.75,98.767,4/7/1989,7/1/2004,daily hourly,daily hourly,daily hourly,daily hourly,meta
122,,b,Sibolga,Indonesia,1.75,98.767,4/26/2005,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
123,347,a,Sabang,Indonesia,5.888,95.317,12/19/2005,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
124,36,a,Chittagong,Bangladesh,22.247,91.825,7/1/2007,12/6/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
125,,a,Prigi,Indonesia,-8.28,111.73,2/26/2007,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
127,95,a,"Syowa, Antarctica",Antarctica,-69,39.6,2/1/1987,12/30/2015,daily hourly,daily hourly,daily hourly,daily hourly,meta
128,308,a,Thevenard,Australia,-32.15,133.64,3/20/1992,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
129,55,a,"Portland, S.Aus.",Australia,-38.333,141.6,1/1/1991,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
130,278,a,Casey,Australia,-66.283,110.533,1/9/1996,11/15/2008,daily hourly,daily hourly,daily hourly,daily hourly,meta
132,,a,Hillarys,Australia,-31.825,115.738,1/1/1992,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
133,68,a,Ambon,Indonesia,-3.683,128.183,8/13/1992,7/30/2004,daily hourly,daily hourly,daily hourly,daily hourly,meta
133,68,b,Ambon,Indonesia,-3.683,128.183,10/2/2008,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
134,,a,Hiron Point,Bangladesh,21.783,89.467,1/17/1977,12/30/2003,daily hourly,daily hourly,daily hourly,daily hourly,meta
135,,a,Khal #10,Bangladesh,22.267,91.817,1/1/1983,12/30/1992,daily hourly,daily hourly,daily hourly,daily hourly,meta
136,,a,Cox's Bazaar,Bangladesh,21.45,91.833,1/1/1983,12/30/2006,daily hourly,daily hourly,daily hourly,daily hourly,meta
137,,a,Teknaf,Bangladesh,20.883,92.3,6/19/1983,11/23/1988,daily hourly,daily hourly,daily hourly,daily hourly,meta
138,,a,Charchanga,Bangladesh,22.217,91.05,1/1/1980,12/30/2000,daily hourly,daily hourly,daily hourly,daily hourly,meta
139,,a,Khepupara,Bangladesh,21.833,89.833,1/1/1987,12/30/2000,daily hourly,daily hourly,daily hourly,daily hourly,meta
140,,a,Kelang,Malaysia,3.05,101.358,12/16/1983,12/31/2015,daily hourly,daily hourly,daily hourly,daily hourly,meta
141,,a,Keling,Malaysia,2.215,102.153,11/7/1984,12/31/2015,daily hourly,daily hourly,daily hourly,daily hourly,meta
142,,a,Langkawi,Malaysia,6.432,99.765,11/30/1985,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
143,43,a,Lumut,Malaysia,4.24,100.613,12/13/1984,12/31/2015,daily hourly,daily hourly,daily hourly,daily hourly,meta
144,,a,Penang,Malaysia,5.422,100.347,11/16/1984,11/12/2015,daily hourly,daily hourly,daily hourly,daily hourly,meta
145,,a,Groote Eylandt,Australia,-13.86,136.417,9/23/1993,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
147,30,a,Karachi,Pakistan,24.8,66.967,1/1/1985,6/29/1994,daily hourly,daily hourly,daily hourly,daily hourly,meta
147,30,b,Karachi,Pakistan,24.8,66.967,2/1/2007,12/14/2016,daily hourly,daily hourly,daily hourly,daily hourly,meta
148,42,a,Ko Taphao Noi,Thailand,7.832,98.425,1/1/1985,12/30/2019,daily hourly,daily hourly,daily hourly,daily hourly,meta
149,,a,Lamu,Kenya,-2.272,40.903,1/1/1989,12/30/1989,daily hourly,daily hourly,daily hourly,daily hourly,meta
149,,b,Lamu,Kenya,-2.272,40.903,6/30/1995,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
150,15,a,Nosy Be,Madagascar,-13.4,48.3,1/2/1958,10/4/2014,daily hourly,daily hourly,daily hourly,daily hourly,meta
151,297,a,Zanzibar,"Tanzania, United Republic of",-6.155,39.19,3/2/1984,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
155,96,a,Dzaoudzi,France,-12.782,45.258,10/18/1963,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
158,,a,Meneng,Indonesia,-8.117,114.383,6/15/1987,12/9/1989,daily hourly,daily hourly,daily hourly,daily hourly,meta
159,,a,Pari,Indonesia,-5.85,106.617,5/31/1987,1/20/1990,daily hourly,daily hourly,daily hourly,daily hourly,meta
